n,serial_time,parallel_time,threads
500000,0.029458,0.012082,10
827586,0.055189,0.011960,10
1155172,0.095760,0.018304,10
1482759,0.119351,0.021709,10
1810345,0.153670,0.030381,10
2137931,0.194162,0.038050,10
2465517,0.229880,0.042890,10
2793103,0.277464,0.052107,10
3120690,0.322952,0.060149,10
3448276,0.362951,0.069738,10
3775862,0.489021,0.083343,10
4103448,0.459392,0.084607,10
4431034,0.541211,0.094889,10
4758621,0.562920,0.105037,10
5086207,0.627186,0.115036,10
5413793,0.680338,0.123670,10
5741379,0.733519,0.132139,10
6068966,0.788454,0.141923,10
6396552,0.862765,0.152815,10
6724138,0.912199,0.163238,10
7051724,0.982303,0.177789,10
7379310,1.108254,0.226577,10
7706897,1.237135,0.200728,10
8034483,1.168411,0.206286,10
8362069,1.291563,0.250793,10
8689655,1.379719,0.235674,10
9017241,1.439312,0.260651,10
9344828,1.530369,0.265887,10
9672414,1.608054,0.271665,10
10000000,1.614788,0.315331,10
