n,posix_time,openmp_time,threads
500000,0.007101,0.008697,10
827586,0.015274,0.013235,10
1155172,0.021418,0.032897,10
1482759,0.030515,0.031932,10
1810345,0.036650,0.035653,10
2137931,0.046866,0.049132,10
2465517,0.054854,0.061648,10
2793103,0.068189,0.068535,10
3120690,0.080466,0.078501,10
3448276,0.102026,0.084886,10
3775862,0.110529,0.097121,10
4103448,0.122863,0.117030,10
4431034,0.141318,0.125160,10
4758621,0.136278,0.162747,10
5086207,0.219276,0.167713,10
5413793,0.215897,0.200074,10
5741379,0.222687,0.201630,10
6068966,0.240652,0.242695,10
6396552,0.264840,0.239016,10
6724138,0.290583,0.274493,10
7051724,0.285955,0.287734,10
7379310,0.349921,0.281982,10
7706897,0.295220,0.280327,10
8034483,0.344207,0.286413,10
8362069,0.333249,0.288661,10
8689655,0.344015,0.325628,10
9017241,0.369624,0.414625,10
9344828,0.576737,0.424233,10
9672414,0.497027,0.443346,10
10000000,0.519741,0.490957,10
