n,mpi16,hybrid16
20000000,0.557770,0.572114
22000000,0.626320,0.611275
24000000,0.722082,0.716576
26000000,0.763429,0.769994
28000000,0.851154,0.877735
30000000,0.938083,0.939285
32000000,1.027625,1.019439
34000000,1.086726,1.093592
36000000,1.171888,1.203373
38000000,1.262203,1.392652
40000000,1.316390,1.351107
42000000,1.440807,1.410916
44000000,1.499005,1.494888
46000000,1.671173,1.608992
48000000,1.718678,1.694328
50000000,1.785200,1.765172
52000000,1.860616,1.856032
54000000,1.969877,1.996011
56000000,2.089309,2.218739
58000000,2.192223,2.180749
60000000,2.291910,2.299332
62000000,2.374271,2.360929
64000000,2.434587,2.478318
66000000,2.569702,2.540316
68000000,2.629660,2.694943
70000000,2.749948,2.762489
72000000,2.832679,2.851244
74000000,2.939678,2.958674
76000000,3.078379,3.079839
78000000,3.157922,3.226678
