n,mpi16,hybrid16
20000000,0.693785,0.553290
22000000,0.636106,0.617783
24000000,0.716301,0.743619
26000000,0.789823,0.782534
28000000,1.201735,0.877572
30000000,0.914408,1.146032
32000000,1.001422,0.986771
34000000,1.105072,1.111013
36000000,1.167614,1.161681
38000000,1.259090,1.237871
40000000,1.329233,1.346005
42000000,1.408696,1.416981
44000000,1.500055,1.498504
46000000,1.595361,1.577156
48000000,1.672144,1.702722
50000000,1.777439,1.786083
52000000,1.875561,1.887593
54000000,1.983130,1.987828
56000000,2.063364,2.051685
58000000,2.137966,2.146345
60000000,2.257599,2.223677
62000000,2.382271,2.349278
64000000,2.463086,2.445191
66000000,2.532990,2.614615
68000000,2.696082,2.671567
70000000,2.787481,2.781277
72000000,2.835902,2.887543
74000000,2.967816,3.016711
76000000,3.072021,3.141646
78000000,3.874371,3.250510
