n,impl,workers,nodes,seconds
40000000,serial,1,1,
40000000,pthreads,1,1,
40000000,openmp,1,1,
40000000,pthreads,2,1,
40000000,openmp,2,1,
40000000,pthreads,4,1,
40000000,openmp,4,1,
40000000,pthreads,6,1,
40000000,openmp,6,1,
40000000,pthreads,8,1,
40000000,openmp,8,1,
40000000,pthreads,10,1,
40000000,openmp,10,1,
40000000,pthreads,12,1,
40000000,openmp,12,1,
40000000,pthreads,14,1,
40000000,openmp,14,1,
40000000,pthreads,16,1,
40000000,openmp,16,1,
40000000,mpi,1,1,14.755531
40000000,mpi,2,1,7.820797
40000000,mpi,4,1,4.863490
40000000,mpi,6,1,2.865434
40000000,mpi,8,1,2.271143
40000000,mpi,10,1,1.886775
40000000,mpi,12,1,1.597245
40000000,mpi,14,1,1.424781
40000000,mpi,16,1,2.179464
40000000,mpi,20,2,1.741148
40000000,mpi,24,2,0.991643
40000000,mpi,28,2,0.955992
40000000,mpi,32,2,1.212451
