task,n,processes,threads,total_workers,run,total,search,communication,post
serial,5000000,1,1,1,1,3.904965,3.904965,0,0
serial,5000000,1,1,1,2,3.921458,3.921458,0,0
serial,5000000,1,1,1,3,3.910694,3.910694,0,0
task1,5000000,1,1,1,1,3.822206,3.647001,0.000747,0.174447
task1,5000000,1,1,1,2,3.788321,3.617922,0.001699,0.168689
task1,5000000,1,1,1,3,3.767946,3.597269,0.000769,0.169897
task1,5000000,2,1,2,1,2.108152,1.927821,0.001670,0.178631
task1,5000000,2,1,2,2,2.063572,1.882086,0.001674,0.179782
task1,5000000,2,1,2,3,2.059971,1.889540,0.000979,0.171582
task1,5000000,4,1,4,1,1.166286,0.969637,0.031589,0.194861
task1,5000000,4,1,4,2,1.168440,0.972618,0.031777,0.194046
task1,5000000,4,1,4,3,1.200503,1.000124,0.022933,0.198637
task1,5000000,8,1,8,1,0.782501,0.543300,0.037243,0.236650
task1,5000000,8,1,8,2,0.757816,0.530972,0.026462,0.226055
task1,5000000,8,1,8,3,0.751028,0.525621,0.027603,0.224215
task1,5000000,16,1,16,1,0.859188,0.389425,0.046139,0.466713
task1,5000000,16,1,16,2,0.886655,0.386568,0.037993,0.497169
task1,5000000,16,1,16,3,0.852768,0.381547,0.026392,0.467826
task2,5000000,1,1,1,1,3.811539,3.632130,0.001510,0.176837
task2,5000000,1,1,1,2,3.805123,3.620260,0.001578,0.181421
task2,5000000,1,1,1,3,3.837384,3.656771,0.000705,0.178035
task2,5000000,1,2,2,1,2.102862,1.911288,0.001600,0.188726
task2,5000000,1,2,2,2,2.093193,1.907481,0.001620,0.182876
task2,5000000,1,2,2,3,2.059029,1.882320,0.001527,0.173985
task2,5000000,1,4,4,1,1.183505,0.997230,0.000728,0.183307
task2,5000000,1,4,4,2,1.161197,0.977393,0.001540,0.179899
task2,5000000,1,4,4,3,1.156914,0.973685,0.001566,0.179449
task2,5000000,1,8,8,1,0.717216,0.532239,0.001680,0.178806
task2,5000000,1,8,8,2,0.714229,0.530903,0.002033,0.177591
task2,5000000,1,8,8,3,0.750559,0.535855,0.000849,0.209498
task2,5000000,1,16,16,1,0.595590,0.385289,0.003090,0.191263
task2,5000000,1,16,16,2,0.586877,0.392113,0.002541,0.179978
task2,5000000,1,16,16,3,0.570958,0.381384,0.000877,0.183237
task2,5000000,2,1,2,1,2.066108,1.880247,0.001551,0.183269
task2,5000000,2,1,2,2,2.063913,1.886158,0.001509,0.175314
task2,5000000,2,1,2,3,2.057857,1.889863,0.001543,0.169432
task2,5000000,2,2,4,1,1.218496,0.973813,0.004438,0.239154
task2,5000000,2,2,4,2,1.161383,0.971674,0.004861,0.183535
task2,5000000,2,2,4,3,1.157052,0.978757,0.001493,0.175724
task2,5000000,2,4,8,1,0.748305,0.564039,0.004249,0.178311
task2,5000000,2,4,8,2,0.712354,0.525974,0.004505,0.180187
task2,5000000,2,4,8,3,0.712511,0.526710,0.000940,0.183101
task2,5000000,2,8,16,1,0.572718,0.380865,0.011681,0.185741
task2,5000000,2,8,16,2,0.569779,0.385701,0.022941,0.179531
task2,5000000,2,8,16,3,0.572778,0.380098,0.011768,0.186338
task2,5000000,4,1,4,1,1.175737,0.970567,0.029035,0.203613
task2,5000000,4,1,4,2,1.177451,0.973923,0.034128,0.201382
task2,5000000,4,1,4,3,1.168570,0.968298,0.033582,0.198746
task2,5000000,4,2,8,1,0.731758,0.526680,0.014318,0.202909
task2,5000000,4,2,8,2,0.750125,0.550701,0.010925,0.197892
task2,5000000,4,2,8,3,0.724779,0.525646,0.008357,0.196644
task2,5000000,4,4,16,1,0.604447,0.393940,0.013401,0.206836
task2,5000000,4,4,16,2,0.641771,0.449143,0.031576,0.189773
task2,5000000,4,4,16,3,0.584491,0.379203,0.004675,0.202078
task2,5000000,8,1,8,1,0.788673,0.552625,0.020833,0.236818
task2,5000000,8,1,8,2,0.760034,0.523759,0.022090,0.235070
task2,5000000,8,1,8,3,0.770880,0.533020,0.032246,0.234908
task2,5000000,8,2,16,1,0.623725,0.380695,0.026152,0.239164
task2,5000000,8,2,16,2,0.622899,0.386412,0.026443,0.236384
task2,5000000,8,2,16,3,0.639341,0.407859,0.034625,0.229973
task2,5000000,16,1,16,1,0.968618,0.389331,0.054031,0.575715
task2,5000000,16,1,16,2,0.906689,0.405542,0.038811,0.499730
task2,5000000,16,1,16,3,0.958773,0.439609,0.057220,0.516347
