n,impl,procs,threads,workers,nodes,seconds
40000000,serial,1,1,1,1,14.561370
40000000,hybrid,1,1,1,1,14.704684
40000000,hybrid,1,2,2,1,7.890676
40000000,hybrid,1,4,4,1,4.187425
40000000,hybrid,1,8,8,1,2.285389
40000000,hybrid,1,16,16,1,1.364535
40000000,hybrid,2,1,2,1,7.865891
40000000,hybrid,2,2,4,1,4.182965
40000000,hybrid,2,4,8,1,2.312124
40000000,hybrid,2,8,16,1,1.404508
40000000,hybrid,2,16,32,2,0.961928
40000000,hybrid,4,1,4,1,4.165495
40000000,hybrid,4,2,8,1,2.274262
40000000,hybrid,4,4,16,1,1.312350
40000000,hybrid,4,8,32,2,0.990653
40000000,hybrid,8,1,8,1,2.293379
40000000,hybrid,8,2,16,1,1.747103
40000000,hybrid,8,4,32,2,0.924823
40000000,hybrid,16,1,16,1,1.344772
40000000,hybrid,16,2,32,2,1.292926
40000000,hybrid,32,1,32,2,0.965479
