n,impl,workers,nodes,seconds,primes
20000000,serial,1,1,,-
20000000,pthreads,16,1,,-
20000000,openmp,16,1,,-
20000000,mpi,16,2,0.557770,1270607
20000000,hybrid,16,2,0.572114,1270607
22000000,serial,1,1,,-
22000000,pthreads,16,1,,-
22000000,openmp,16,1,,-
22000000,mpi,16,2,0.626320,1389261
22000000,hybrid,16,2,0.611275,1389261
24000000,serial,1,1,,-
24000000,pthreads,16,1,,-
24000000,openmp,16,1,,-
24000000,mpi,16,2,0.722082,1507122
24000000,hybrid,16,2,0.716576,1507122
26000000,serial,1,1,,-
26000000,pthreads,16,1,,-
26000000,openmp,16,1,,-
26000000,mpi,16,2,0.763429,1624527
26000000,hybrid,16,2,0.769994,1624527
28000000,serial,1,1,,-
28000000,pthreads,16,1,,-
28000000,openmp,16,1,,-
28000000,mpi,16,2,0.851154,1741430
28000000,hybrid,16,2,0.877735,1741430
30000000,serial,1,1,,-
30000000,pthreads,16,1,,-
30000000,openmp,16,1,,-
30000000,mpi,16,2,0.938083,1857859
30000000,hybrid,16,2,0.939285,1857859
32000000,serial,1,1,,-
32000000,pthreads,16,1,,-
32000000,openmp,16,1,,-
32000000,mpi,16,2,1.027625,1973815
32000000,hybrid,16,2,1.019439,1973815
34000000,serial,1,1,,-
34000000,pthreads,16,1,,-
34000000,openmp,16,1,,-
34000000,mpi,16,2,1.086726,2089379
34000000,hybrid,16,2,1.093592,2089379
36000000,serial,1,1,,-
36000000,pthreads,16,1,,-
36000000,openmp,16,1,,-
36000000,mpi,16,2,1.171888,2204262
36000000,hybrid,16,2,1.203373,2204262
38000000,serial,1,1,,-
38000000,pthreads,16,1,,-
38000000,openmp,16,1,,-
38000000,mpi,16,2,1.262203,2318966
38000000,hybrid,16,2,1.392652,2318966
40000000,serial,1,1,,-
40000000,pthreads,16,1,,-
40000000,openmp,16,1,,-
40000000,mpi,16,2,1.316390,2433654
40000000,hybrid,16,2,1.351107,2433654
42000000,serial,1,1,,-
42000000,pthreads,16,1,,-
42000000,openmp,16,1,,-
42000000,mpi,16,2,1.440807,2547620
42000000,hybrid,16,2,1.410916,2547620
44000000,serial,1,1,,-
44000000,pthreads,16,1,,-
44000000,openmp,16,1,,-
44000000,mpi,16,2,1.499005,2661384
44000000,hybrid,16,2,1.494888,2661384
46000000,serial,1,1,,-
46000000,pthreads,16,1,,-
46000000,openmp,16,1,,-
46000000,mpi,16,2,1.671173,2775053
46000000,hybrid,16,2,1.608992,2775053
48000000,serial,1,1,,-
48000000,pthreads,16,1,,-
48000000,openmp,16,1,,-
48000000,mpi,16,2,1.718678,2888144
48000000,hybrid,16,2,1.694328,2888144
50000000,serial,1,1,,-
50000000,pthreads,16,1,,-
50000000,openmp,16,1,,-
50000000,mpi,16,2,1.785200,3001134
50000000,hybrid,16,2,1.765172,3001134
52000000,serial,1,1,,-
52000000,pthreads,16,1,,-
52000000,openmp,16,1,,-
52000000,mpi,16,2,1.860616,3113843
52000000,hybrid,16,2,1.856032,3113843
54000000,serial,1,1,,-
54000000,pthreads,16,1,,-
54000000,openmp,16,1,,-
54000000,mpi,16,2,1.969877,3226203
54000000,hybrid,16,2,1.996011,3226203
56000000,serial,1,1,,-
56000000,pthreads,16,1,,-
56000000,openmp,16,1,,-
56000000,mpi,16,2,2.089309,3338330
56000000,hybrid,16,2,2.218739,3338330
58000000,serial,1,1,,-
58000000,pthreads,16,1,,-
58000000,openmp,16,1,,-
58000000,mpi,16,2,2.192223,3450336
58000000,hybrid,16,2,2.180749,3450336
60000000,serial,1,1,,-
60000000,pthreads,16,1,,-
60000000,openmp,16,1,,-
60000000,mpi,16,2,2.291910,3562115
60000000,hybrid,16,2,2.299332,3562115
62000000,serial,1,1,,-
62000000,pthreads,16,1,,-
62000000,openmp,16,1,,-
62000000,mpi,16,2,2.374271,3673600
62000000,hybrid,16,2,2.360929,3673600
64000000,serial,1,1,,-
64000000,pthreads,16,1,,-
64000000,openmp,16,1,,-
64000000,mpi,16,2,2.434587,3785086
64000000,hybrid,16,2,2.478318,3785086
66000000,serial,1,1,,-
66000000,pthreads,16,1,,-
66000000,openmp,16,1,,-
66000000,mpi,16,2,2.569702,3896123
66000000,hybrid,16,2,2.540316,3896123
68000000,serial,1,1,,-
68000000,pthreads,16,1,,-
68000000,openmp,16,1,,-
68000000,mpi,16,2,2.629660,4007342
68000000,hybrid,16,2,2.694943,4007342
70000000,serial,1,1,,-
70000000,pthreads,16,1,,-
70000000,openmp,16,1,,-
70000000,mpi,16,2,2.749948,4118064
70000000,hybrid,16,2,2.762489,4118064
72000000,serial,1,1,,-
72000000,pthreads,16,1,,-
72000000,openmp,16,1,,-
72000000,mpi,16,2,2.832679,4228658
72000000,hybrid,16,2,2.851244,4228658
74000000,serial,1,1,,-
74000000,pthreads,16,1,,-
74000000,openmp,16,1,,-
74000000,mpi,16,2,2.939678,4339254
74000000,hybrid,16,2,2.958674,4339254
76000000,serial,1,1,,-
76000000,pthreads,16,1,,-
76000000,openmp,16,1,,-
76000000,mpi,16,2,3.078379,4449611
76000000,hybrid,16,2,3.079839,4449611
78000000,serial,1,1,,-
78000000,pthreads,16,1,,-
78000000,openmp,16,1,,-
78000000,mpi,16,2,3.157922,4559544
78000000,hybrid,16,2,3.226678,4559544
