n,impl,workers,seconds
20000000,serial,1,5.457282
20000000,pthreads,16,0.484697
20000000,openmp,16,0.438430
22000000,serial,1,6.244596
22000000,pthreads,16,0.539184
22000000,openmp,16,0.496347
24000000,serial,1,7.060153
24000000,pthreads,16,0.610153
24000000,openmp,16,0.557088
26000000,serial,1,7.907641
26000000,pthreads,16,0.691716
26000000,openmp,16,0.618350
28000000,serial,1,8.776331
28000000,pthreads,16,0.773410
28000000,openmp,16,0.675600
30000000,serial,1,9.683881
30000000,pthreads,16,0.849491
30000000,openmp,16,0.747488
32000000,serial,1,10.613065
32000000,pthreads,16,0.925468
32000000,openmp,16,0.812962
34000000,serial,1,11.571142
34000000,pthreads,16,1.020646
34000000,openmp,16,0.880532
36000000,serial,1,12.533548
36000000,pthreads,16,1.097975
36000000,openmp,16,0.949788
38000000,serial,1,13.545725
38000000,pthreads,16,1.193113
38000000,openmp,16,1.013042
40000000,serial,1,14.556782
40000000,pthreads,16,1.304737
40000000,openmp,16,1.091709
42000000,serial,1,15.595594
42000000,pthreads,16,1.379377
42000000,openmp,16,1.165595
44000000,serial,1,16.664704
44000000,pthreads,16,1.472797
44000000,openmp,16,1.238052
46000000,serial,1,17.744253
46000000,pthreads,16,1.572726
46000000,openmp,16,1.317864
48000000,serial,1,18.863401
48000000,pthreads,16,1.639791
48000000,openmp,16,1.394870
50000000,serial,1,19.985658
50000000,pthreads,16,1.743535
50000000,openmp,16,1.465586
52000000,serial,1,21.132339
52000000,pthreads,16,1.846822
52000000,openmp,16,1.562521
54000000,serial,1,22.307653
54000000,pthreads,16,1.947007
54000000,openmp,16,1.631366
56000000,serial,1,23.474640
56000000,pthreads,16,2.058899
56000000,openmp,16,1.708631
58000000,serial,1,24.687994
58000000,pthreads,16,2.192789
58000000,openmp,16,1.790353
60000000,serial,1,25.893236
60000000,pthreads,16,2.257629
60000000,openmp,16,1.886053
62000000,serial,1,27.135476
62000000,pthreads,16,2.381946
62000000,openmp,16,1.961438
64000000,serial,1,28.388760
64000000,pthreads,16,2.755936
64000000,openmp,16,2.052958
66000000,serial,1,29.660061
66000000,pthreads,16,2.604037
66000000,openmp,16,2.139116
68000000,serial,1,30.957026
68000000,pthreads,16,2.716642
68000000,openmp,16,2.222077
70000000,serial,1,32.254958
70000000,pthreads,16,2.855723
70000000,openmp,16,2.387232
72000000,serial,1,33.587114
72000000,pthreads,16,3.337867
72000000,openmp,16,4.008979
74000000,serial,1,34.954315
74000000,pthreads,16,3.050728
74000000,openmp,16,2.508947
76000000,serial,1,36.261688
76000000,pthreads,16,3.189783
76000000,openmp,16,2.599254
78000000,serial,1,37.645412
78000000,pthreads,16,3.295829
78000000,openmp,16,2.844883
