n,serial,pthreads16,openmp16
20000000,5.455553,0.586981,0.480055
22000000,6.467310,0.551145,0.490987
24000000,7.112723,0.686178,0.562053
26000000,7.937549,0.842234,0.703794
28000000,8.845293,1.028596,0.684114
30000000,9.682406,0.840354,0.748292
32000000,10.610643,0.924686,0.811447
34000000,11.564320,1.013960,0.885770
36000000,12.538214,1.115893,0.952493
38000000,13.535197,1.204204,1.028198
40000000,14.558377,1.286651,1.094234
42000000,15.603422,1.357566,1.167254
44000000,16.669857,1.480997,1.237130
46000000,17.759028,1.550539,1.317024
48000000,18.862593,1.656718,1.390172
50000000,20.004508,1.742427,1.474179
52000000,21.133870,1.853794,1.557839
54000000,22.332379,1.977945,1.655754
56000000,23.488958,2.047149,2.580968
58000000,24.684779,2.666955,1.802546
60000000,25.896868,2.260002,1.880189
62000000,27.147096,2.365828,1.971200
64000000,28.413215,2.502061,2.054313
66000000,29.671546,2.607291,2.139584
68000000,30.963069,2.719656,2.227897
70000000,32.248870,2.826010,2.318813
72000000,33.586311,2.944685,2.452583
74000000,34.935148,3.082931,2.556172
76000000,36.284729,3.181635,2.590219
78000000,37.619915,3.300930,2.688814
