n,impl,workers,seconds
40000000,serial,1,14.559253
40000000,pthreads,1,14.355924
40000000,openmp,1,14.597323
40000000,pthreads,2,9.060042
40000000,openmp,2,7.404173
40000000,pthreads,4,4.869763
40000000,openmp,4,3.793631
40000000,pthreads,6,3.308786
40000000,openmp,6,2.583931
40000000,pthreads,8,2.519058
40000000,openmp,8,1.982932
40000000,pthreads,10,2.006161
40000000,openmp,10,1.622902
40000000,pthreads,12,1.689484
40000000,openmp,12,1.383834
40000000,pthreads,14,1.445877
40000000,openmp,14,1.213300
40000000,pthreads,16,1.265294
40000000,openmp,16,1.091764
