n,serial,pthreads16,openmp16
20000000,5.457282,0.484697,0.438430
22000000,6.244596,0.539184,0.496347
24000000,7.060153,0.610153,0.557088
26000000,7.907641,0.691716,0.618350
28000000,8.776331,0.773410,0.675600
30000000,9.683881,0.849491,0.747488
32000000,10.613065,0.925468,0.812962
34000000,11.571142,1.020646,0.880532
36000000,12.533548,1.097975,0.949788
38000000,13.545725,1.193113,1.013042
40000000,14.556782,1.304737,1.091709
42000000,15.595594,1.379377,1.165595
44000000,16.664704,1.472797,1.238052
46000000,17.744253,1.572726,1.317864
48000000,18.863401,1.639791,1.394870
50000000,19.985658,1.743535,1.465586
52000000,21.132339,1.846822,1.562521
54000000,22.307653,1.947007,1.631366
56000000,23.474640,2.058899,1.708631
58000000,24.687994,2.192789,1.790353
60000000,25.893236,2.257629,1.886053
62000000,27.135476,2.381946,1.961438
64000000,28.388760,2.755936,2.052958
66000000,29.660061,2.604037,2.139116
68000000,30.957026,2.716642,2.222077
70000000,32.254958,2.855723,2.387232
72000000,33.587114,3.337867,4.008979
74000000,34.954315,3.050728,2.508947
76000000,36.261688,3.189783,2.599254
78000000,37.645412,3.295829,2.844883
