task,n,processes,threads,total_workers,Average of total,Average of search,Average of communication,Average of post,Speedup,Serial Fraction,Parallel Fraction,Theoretical Speedup,,,,,,,,,,,,,
serial,5000000,1,1,1,3.908,3.908,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,6000000,1,1,1,4.976,4.976,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,7000000,1,1,1,6.170,6.170,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,8000000,1,1,1,7.376,7.376,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,9000000,1,1,1,8.735,8.735,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,10000000,1,1,1,10.065,10.065,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,11000000,1,1,1,11.651,11.651,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,12000000,1,1,1,13.362,13.362,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,13000000,1,1,1,14.584,14.584,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,14000000,1,1,1,16.169,16.169,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,15000000,1,1,1,17.791,17.791,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,16000000,1,1,1,19.520,19.520,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,17000000,1,1,1,21.275,21.275,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,18000000,1,1,1,23.007,23.007,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,19000000,1,1,1,24.817,24.817,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,20000000,1,1,1,26.673,26.673,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,21000000,1,1,1,28.556,28.556,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,22000000,1,1,1,30.740,30.740,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,23000000,1,1,1,32.621,32.621,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,24000000,1,1,1,34.807,34.807,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,25000000,1,1,1,36.496,36.496,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,26000000,1,1,1,38.579,38.579,0.000,0.000,1.000,,,,,,,,,,,,,,,,
serial,27000000,1,1,1,40.698,40.698,0.000,0.000,1.000,,,,,,,,,,,,,,,,
